actor_name,tier
Scott Porter,1
Tina Fey,1
M. Emmet Walsh,1
Sally Hawkins,1
America Ferrera,1
Harry Connick Jr.,1
James Nesbitt,1
Wayne Knight,1
Beth Grant,1
Kevin Dunn,1
Derek Jacobi,1
Mary Lynn Rajskub,1
Seymour Cassel,1
Glenn Morshower,1
Frank Welker,1
Peter Coyote,1
Richard Schiff,1
Charles S. Dutton,1
Frankie Muniz,1
Joe Lo Truglio,1
F. Murray Abraham,1
Robert Pattinson,1
Sanaa Lathan,1
Jimmy Bennett,1
Will Patton,1
Rainn Wilson,1
Julian Sands,1
Imelda Staunton,1
Reg E. Cathey,1
Kevin McNally,1
Josh Gad,1
Julie Walters,1
Kieran Culkin,1
Diedrich Bader,1
Lea Thompson,1
Kelly Macdonald,1
Alan Ruck,1
Teri Polo,1
Kathleen Turner,1
Marc Blucas,1
Rupert Grint,1
James Coburn,1
Zoë Kravitz,1
Denis O'Hare,1
Timothy Hutton,1
John Gielgud,1
John Witherspoon,1
Paul Guilfoyle,1
Nichelle Nichols,1
David Carradine,1
Randy Quaid,1
Sean Pertwee,1
Ellen Barkin,1
Derek Luke,1
Daniel von Bargen,1
Bridget Fonda,1
Lena Olin,1
James Corden,1
Eddie Redmayne,1
Tyler Labine,1
Alison Lohman,1
George Kennedy,1
Eddie Izzard,1
Cicely Tyson,1
Jason Ritter,1
Kurtwood Smith,1
Shannon Elizabeth,1
Sarah Silverman,1
Kevin Corrigan,1
Xander Berkeley,1
Nate Parker,1
Spencer Wilding,1
George Carlin,1
RZA,1
Jack O'Connell,1
Rory Culkin,1
Clint Howard,1
Jim Sturgess,1
Eddie Cibrian,1
Peter Boyle,1
Sophie Okonedo,1
Stacy Keach,1
Natasha Henstridge,1
Judge Reinhold,1
Jamie Kennedy,1
Chris Klein,1
CCH Pounder,1
Madeline Kahn,1
Thomas F. Wilson,1
Michael Jeter,1
Andrew Garfield,1
Jordana Brewster,1
Catherine Deneuve,1
Julia Ormond,1
Mark Webber,1
Henry Cavill,1
Stephen McHattie,1
Stephen Graham,1
Sela Ward,1
Joel David Moore,1
Mike Vogel,1
Amber Valletta,1
Roger Rees,1
Gretchen Mol,1
Debra Messing,1
Noel Gugliemi,1
Regina Hall,1
Elden Henson,1
Daniel Roebuck,1
Martin Short,1
Amy Sedaris,1
Brian Blessed,1
Danny Huston,1
Laz Alonso,1
Deborah Kara Unger,1
Blair Underwood,1
Scoot McNairy,1
Kenan Thompson,1
Paddy Considine,1
Tom Everett Scott,1
Snoop Dogg,1
Curtis Armstrong,1
Kevin Sussman,1
Linda Cardellini,1
Kathleen Quinlan,1
Miko Hughes,1
Li Gong,1
Alex Rocco,1
Roy Scheider,1
David Hewlett,1
Kevin Nealon,1
Kelsey Grammer,1
Stephen Dillane,1
Jane Krakowski,1
Jack Davenport,1
Michael Moore,1
Richard E. Grant,1
Moises Arias,1
Wes Studi,1
Maura Tierney,1
Elizabeth Daily,1
Brenda Blethyn,1
Vinessa Shaw,1
Matt Walsh,1
Gaby Hoffmann,1
Catherine McCormack,1
Chi McBride,1
Ruby Dee,1
Hunter Parrish,1
Yaphet Kotto,1
Anupam Kher,1
Brad Garrett,1
Victor Wong,1
Shawnee Smith,1
Tia Carrere,1
Devin Ratray,1
Joseph Gilgun,1
Jeffrey DeMunn,1
Steve Guttenberg,1
Eva Green,1
Jeremy Northam,1
Kristin Davis,1
Sean Hayes,1
Chris Noth,1
Mark Duplass,1
Megan Mullally,1
Teri Garr,1
Dom DeLuise,1
Elaine Hendrix,1
Robert Wagner,1
Jose Pablo Cantillo,1
Corbin Bleu,1
Shawn Hatosy,1
Sarah Gadon,1
Martin Starr,1
Charlie Hunnam,1
M.C. Gainey,1
Lew Temple,1
Paula Garcés,1
Ted Danson,1
Goran Visnjic,1
Ari Graynor,1
Liam Aiken,1
