director_name,tier
Bruce Beresford,1
Jonathan Mostow,1
Ken Kwapis,1
Matthew Vaughn,1
Nick Cassavetes,1
Jay Duplass,1
Jeff Tremaine,1
Jake Kasdan,1
Billy Wilder,1
Irwin Winkler,1
Sofia Coppola,1
Dennie Gordon,1
John Erick Dowdle,1
Paul Haggis,1
Nicolas Winding Refn,1
Jean-Jacques Annaud,1
Craig Gillespie,1
Randall Wallace,1
Michael Caton-Jones,1
Mikael Håfström,1
Brad Silberling,1
Steve Carr,1
Alejandro Amenábar,1
Martin Brest,1
Rob Bowman,1
Andrew Davis,1
Shane Meadows,1
Tarsem Singh,1
Frank Darabont,1
Betty Thomas,1
Edgar Wright,1
Jon Amiel,1
Mike Judge,1
Jonathan Frakes,1
Steven Brill,1
John Moore,1
Mark L. Lester,1
Phil Lord,1
Albert Hughes,1
Spike Jonze,1
John Milius,1
Ron Shelton,1
Anthony Russo,1
Rick Famuyiwa,1
James Bobin,1
Marc Webb,1
Henry Joost,1
Duncan Jones,1
John Waters,1
Roger Kumble,1
James Algar,1
John Hamburg,1
Trey Parker,1
Reginald Hudlin,1
Greg Mottola,1
Barbra Streisand,1
Anton Corbijn,1
William Brent Bell,1
Jon Lucas,1
John G. Avildsen,1
Nimród Antal,1
Noah Baumbach,1
Nora Ephron,1
John Schultz,1
Tom Hooper,1
James Foley,1
Peter Sollett,1
Mark Dindal,1
Chris Wedge,1
Todd Haynes,1
Danny DeVito,1
Florian Henckel von Donnersmarck,1
Richard Curtis,1
J.C. Chandor,1
Olivier Megaton,1
Jonathan Glazer,1
Warren Beatty,1
Brad Furman,1
Denis Villeneuve,1
Shana Feste,1
Thomas Carter,1
Roger Michell,1
Todd Solondz,1
Morgan Spurlock,1
Michael Tiddes,1
Don Coscarelli,1
David Raynr,1
Ron Underwood,1
Kevin Costner,1
Stephen Chow,1
George P. Cosmatos,1
Mike Binder,1
James Gunn,1
Richard Shepard,1
Michael Curtiz,1
Stephen Kay,1
Thomas Vinterberg,1
